Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,08/09/2023,5460101196,LG,BT - LB,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,61.04,0.00,,,2,,,,5980,,,,122.09,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,07/09/2023,2613150,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,38.05,0.00,0.00,,49,,,,91319.34,,,,1864.36,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,07/09/2023,2614967,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,48.71,0.00,0.00,,3,,,,7157.07,,,,146.12,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,12/09/2023,2616863,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,44.27,0.00,0.00,,918,,,,1990741.18,,,,40642.67,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,28/08/2023,2610440,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,50.61,0.00,0.00,,36,,,,89236.06,,,,1821.83,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,28/08/2023,2611251,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,64.36,0.00,0.00,,14,,,,44135.35,,,,901.06,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,28/08/2023,2613150,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,38.30,0.00,0.00,,311,,,,583438.95,,,,11911.40,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/08/2023,2610440,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,111.58,0.00,0.00,,10,,,,54653.7,,,,1115.80,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/08/2023,2613150,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,38.05,0.00,0.00,,40,,,,74546.4,,,,1521.93,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,31/08/2023,2614971,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,29.64,0.00,0.00,,47,,,,68239.62,,,,1393.17,,
