Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,30/10/2023,2623752,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,38.23,0.00,0.00,,163,,,,305193.81,,,,6230.79,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,16/11/2023,5460104032,LG,BT - LB,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,209.04,0.00,,,1,,,,10239,,,,209.04,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,18/11/2023,2630668,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,46.95,0.00,0.00,,455,,,,1046450.1,,,,21364.17,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,18/11/2023,2628458,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,59.36,0.00,0.00,,6,,,,17446.38,,,,356.18,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,06/11/2023,5460103532,LG,BT - LB,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,54.94,0.00,,,1,,,,2691,,,,54.94,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,04/11/2023,2628458,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,76.73,0.00,0.00,,169,,,,635143.27,,,,12966.99,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,25/10/2023,5460102890,LG,BT - TV,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,26.28,0.00,,,2,,,,8591,,,,52.56,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,25/10/2023,5460102891,LG,BT - TV,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,11.18,0.00,,,1,,,,1828,,,,11.18,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,10/11/2023,2628856,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,29.69,0.00,0.00,0.00,12,,,,58229.79,,,,356.23,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,17/11/2023,5460104321,LG,BT - TV,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,22.95,0.00,,,2,,,,7503,,,,45.90,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,02/11/2023,2625594,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,31.46,0.00,0.00,,199,,,,1023194.2,,,,6259.55,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,02/11/2023,2627487,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,15.49,0.00,0.00,,198,,,,501237,,,,3066.40,,
