Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,05/04/2023,2584441,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,59.60,0.00,0.00,,306,,,,893289.48,,,,18237.26,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,08/04/2023,2584441,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,52.20,0.00,0.00,,111,,,,283791.72,,,,5793.85,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,25/03/2023,2579466,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,84.49,0.00,0.00,,31,,,,128285.44,,,,2619.06,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,25/03/2023,2582266,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,41.09,0.00,0.00,,30,,,,60384.3,,,,1232.80,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,22/03/2023,2579466,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,64.26,0.00,0.00,,300,,,,944310.28,,,,19278.90,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,11/04/2023,2585161,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,39.57,0.00,0.00,,50,,,,96912,,,,1978.54,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,12/04/2023,2585161,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,54.18,0.00,0.00,,462,,,,1226081.13,,,,25031.49,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,12/04/2023,2584441,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,41.46,0.00,0.00,,254,,,,515803.36,,,,10530.56,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,31/03/2023,2579466,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,37.79,0.00,0.00,,240,,,,444295.2,,,,9070.66,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,31/03/2023,2576389,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,90.75,0.00,0.00,,5,,,,22225.15,,,,453.75,,
