Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,TEXTIL TERCEROS DEPORTES,05/12/2022,5460089946,TAPOUT,PQ,TERCERAS,CD Villa El Salvador,RTW,NORMAL,0.00,0.00,0.18,0.00,,,14,,,,723,,,,2.52,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,TEXTIL TERCEROS DEPORTES,05/12/2022,5460089953,TAPOUT,PQ,TERCERAS,CD Villa El Salvador,RTW,NORMAL,0.00,0.00,0.18,0.00,,,8,,,,418,,,,1.44,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,TEXTIL TERCEROS DEPORTES,05/12/2022,5460089952,TAPOUT,PQ,TERCERAS,CD Villa El Salvador,RTW,NORMAL,0.00,0.00,0.18,0.00,,,9,,,,414,,,,1.62,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,TEXTIL TERCEROS DEPORTES,05/12/2022,5460089950,TAPOUT,PQ,TERCERAS,CD Villa El Salvador,RTW,NORMAL,0.00,0.00,0.18,0.00,,,11,,,,489,,,,1.98,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,TEXTIL TERCEROS DEPORTES,05/12/2022,5460089947,TAPOUT,PQ,TERCERAS,CD Villa El Salvador,RTW,NORMAL,0.00,0.00,0.18,0.00,,,17,,,,686,,,,3.06,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,TEXTIL TERCEROS DEPORTES,05/12/2022,5460089948,TAPOUT,PQ,TERCERAS,CD Villa El Salvador,RTW,NORMAL,0.00,0.00,0.18,0.00,,,11,,,,535,,,,1.98,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,TEXTIL TERCEROS DEPORTES,05/12/2022,5460089955,TAPOUT,PQ,TERCERAS,CD Villa El Salvador,RTW,NORMAL,0.00,0.00,0.18,0.00,,,70,,,,5590,,,,12.60,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,TEXTIL TERCEROS DEPORTES,05/12/2022,5460089954,TAPOUT,PQ,TERCERAS,CD Villa El Salvador,RTW,NORMAL,0.00,0.00,0.18,0.00,,,8,,,,423,,,,1.44,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,TEXTIL TERCEROS DEPORTES,05/12/2022,5460089949,TAPOUT,PQ,TERCERAS,CD Villa El Salvador,RTW,NORMAL,0.00,0.00,0.18,0.00,,,20,,,,844,,,,3.60,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,TEXTIL TERCEROS DEPORTES,05/12/2022,5460089951,TAPOUT,PQ,TERCERAS,CD Villa El Salvador,RTW,NORMAL,0.00,0.00,0.18,0.00,,,4,,,,199,,,,0.72,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,TEXTIL TERCEROS DEPORTES,05/12/2022,5460089957,TAPOUT,PQ,TERCERAS,CD Villa El Salvador,RTW,NORMAL,0.00,0.00,0.18,0.00,,,11,,,,310,,,,1.98,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,TEXTIL TERCEROS DEPORTES,05/12/2022,5460089956,TAPOUT,PQ,TERCERAS,CD Villa El Salvador,RTW,NORMAL,0.00,0.00,0.18,0.00,,,57,,,,2087,,,,10.26,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,TEXTIL TERCEROS DEPORTES,05/12/2022,5460089958,TAPOUT,PQ,TERCERAS,CD Villa El Salvador,RTW,NORMAL,0.00,0.00,0.18,0.00,,,2,,,,182,,,,0.36,
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,TEXTIL TERCEROS DEPORTES,05/12/2022,5460089945,TAPOUT,PQ,TERCERAS,CD Villa El Salvador,RTW,NORMAL,0.00,0.00,0.18,0.00,,,10,,,,910,,,,1.80,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,21/11/2022,2548091,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,50.35,0.00,0.00,,19,,,,46857.04,,,,956.63,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,21/11/2022,2556321,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,31.93,0.00,0.00,,92,,,,143863.8,,,,2937.10,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,21/11/2022,2556457,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,52.36,0.00,0.00,,15,,,,38470.2,,,,785.40,,
