Proveedor,RUC_PROVEEDOR,División,Departamento,Fecha Proceso,Documento (OC - GR),Marca,Tipo Producto,Tipo Marca,Sucursal Destino,MH,TIP_PROVEEDOR,Tarifas S/. CROSS,Tarifas S/. PICK,Tarifas S/. DEV,Tarifas S/. VERDES,Unidades CROSS,Unidades PICK,Unidades DEV,Unidades VERDES,Stock S/. CROSS,Stock S/. PICK,Stock S/. DEV,Stock S/. VERDES,Costo Log S/. CROSS,Costo Log S/. PICK,Costo Log S/. DEV,Costo Log S/. VERDES
PRETORIAN BRANDS S.A.C.,2060584919,DEPORTES,BICICLETAS Y MAQUINAS,07/10/2022,2547674,REEBOK,BT - OTROS,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,48.64,0.00,0.00,,15,,,,32535,,,,729.60,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,18/10/2022,2548091,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,63.93,0.00,0.00,,21,,,,65760.66,,,,1342.56,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,14/10/2022,2548091,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,63.26,0.00,0.00,,436,,,,1350886.37,,,,27579.49,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,12/10/2022,2548091,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,38.79,0.00,0.00,,383,,,,727652.69,,,,14855.65,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,20/10/2022,2548091,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,44.54,0.00,0.00,,553,,,,1206381.16,,,,24629.30,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,20/10/2022,5460088354,LG,BT - LB,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,35.65,0.00,,,5,,,,8730,,,,178.23,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,11/10/2022,2548091,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,110.69,0.00,0.00,,78,,,,422913.06,,,,8634.13,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,LINEA BLANCA,29/09/2022,2546263,LG,BT - LB,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,46.81,0.00,0.00,,1484,,,,3402495.61,,,,69464.84,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,18/10/2022,2547984,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,9.46,0.00,0.00,,353,,,,546002.75,,,,3340.26,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,14/10/2022,2547984,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,21.94,0.00,0.00,,249,,,,892932.27,,,,5462.66,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,27/09/2022,2546244,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,10.47,0.00,0.00,,1781,,,,3046998.49,,,,18640.50,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,20/10/2022,2547984,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,16.02,0.00,0.00,,815,,,,2134092.37,,,,13055.65,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,20/10/2022,5460088354,LG,BT - TV,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,24.04,0.00,,,6,,,,23577,,,,144.24,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,20/10/2022,5460088353,LG,PQ,TERCERAS,CD Villa El Salvador,J&C,NORMAL,0.00,0.00,0.12,0.00,,,1,,,,20,,,,0.12,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,20/10/2022,5460088353,LG,BT - TV,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,17.21,0.00,,,3,,,,8438,,,,51.62,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,20/10/2022,5460088353,LG,BT - TV,TERCERAS,CD Villa El Salvador,SBN,NORMAL,0.00,0.00,9.12,0.00,,,1,,,,1491,,,,9.12,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,20/10/2022,5460088352,LG,BT - TV,TERCERAS,CD Villa El Salvador,BT,NORMAL,0.00,0.00,32.59,0.00,,,3,,,,15982,,,,97.77,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,20/10/2022,2547985,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,17.43,0.00,0.00,0.00,15,,,,42726.9,,,,261.39,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,10/10/2022,2547984,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,17.79,0.00,0.00,,447,,,,1300181.64,,,,7954.07,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,10/10/2022,2544685,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,19.13,0.00,0.00,0.00,67,,,,209470.14,,,,1281.47,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,10/10/2022,2547983,LG,BT - TV,TERCERAS,CD Villa El Salvador,SB,NORMAL,0.00,7.30,0.00,0.00,,75,,,,89435.25,,,,547.13,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,28/09/2022,2544685,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,19.13,0.00,0.00,0.00,82,,,,256366.44,,,,1568.36,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,11/10/2022,2547984,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,13.95,0.00,0.00,,708,,,,1614208.37,,,,9875.18,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,11/10/2022,2547985,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,21.00,0.00,0.00,0.00,34,,,,116722.14,,,,714.07,,,
LG ELECTRONICS PERU S.A.,2037575534,ELECTROHOGAR,TV-VIDEO,17/10/2022,2547984,LG,BT - TV,TERCERAS,CD ALDEA6,BT,NORMAL,0.00,12.54,0.00,0.00,,738,,,,1512381.03,,,,9252.23,,
